# depth[mm]	Amp[V]	HF [V]	TGC [dB]
40.5	1.386	-1.007	12.441
40.6	1.442	-1.007	12.441
40.7	1.409	-1.007	12.441
40.9	1.333	1.001	12.283
41.0	1.281	1.001	12.441
41.1	1.282	1.001	12.598
41.3	1.305	-0.747	12.598
41.4	1.297	-1.007	12.598
41.5	1.238	-1.007	12.598
41.7	1.166	0.276	12.598
41.8	1.134	0.953	12.598
41.9	1.155	1.001	12.598
42.1	1.186	0.725	12.756
42.2	1.155	-0.527	12.756
42.3	1.029	-1.007	12.756
42.5	0.843	-0.464	12.756
42.6	0.682	0.268	12.756
42.7	0.608	0.560	12.913
42.9	0.618	0.560	12.913
43.0	0.642	0.111	12.913
43.1	0.605	-0.472	12.913
43.3	0.487	-0.424	13.071
43.4	0.337	0.016	12.913
43.5	0.230	0.198	12.913
43.7	0.206	0.198	13.071
43.8	0.244	0.182	13.071
43.9	0.283	-0.047	13.228
44.1	0.271	-0.251	13.228
44.2	0.209	-0.133	13.228
44.3	0.138	0.056	13.228
44.5	0.104	0.095	13.228
44.6	0.118	0.111	13.386
44.7	0.153	0.072	13.228
44.9	0.173	-0.094	13.386
45.0	0.159	-0.149	13.386
45.1	0.121	-0.023	13.386
45.3	0.087	0.072	13.386
45.4	0.074	0.072	13.543
45.5	0.079	0.048	13.543
45.7	0.088	-0.015	13.543
45.8	0.087	-0.078	13.543
45.9	0.074	-0.039	13.543
46.1	0.057	0.040	13.701
46.2	0.045	0.040	13.701
46.3	0.040	0.001	13.701
46.5	0.041	-0.031	13.701
46.6	0.048	-0.039	13.701
46.7	0.061	0.016	13.701
46.9	0.077	0.072	13.701
47.0	0.090	0.056	13.858
47.1	0.093	-0.039	13.858
47.3	0.083	-0.078	13.858
47.4	0.067	-0.047	13.858
47.5	0.055	0.001	13.858
47.7	0.056	0.040	14.016
47.8	0.069	0.072	14.016
47.9	0.084	0.056	14.016
48.1	0.094	-0.007	14.016
48.2	0.096	-0.070	14.016
48.3	0.095	-0.094	14.173
48.5	0.098	-0.039	14.173
48.6	0.107	0.072	14.173
48.7	0.116	0.111	14.173
48.9	0.117	0.040	14.331
49.0	0.105	-0.062	14.331
49.1	0.087	-0.086	14.331
49.3	0.070	-0.039	14.331
49.4	0.063	0.024	14.331
49.5	0.065	0.064	14.331
49.7	0.069	0.048	14.488
49.8	0.067	-0.007	14.488
49.9	0.056	-0.047	14.488
50.1	0.041	-0.039	14.488
50.2	0.026	-0.007	14.488
50.3	0.018	0.009	14.488
50.5	0.017	0.016	14.646
