# depth[mm]	Amp[V]	HF [V]	TGC [dB]
114.2	0.010	-0.003	0.157
114.3	0.008	0.005	0.157
114.5	0.007	-0.003	0.157
114.6	0.006	-0.003	0.157
114.7	0.006	-0.003	0.157
114.9	0.007	-0.003	0.157
115.0	0.009	0.005	0.157
115.1	0.010	-0.003	0.157
115.3	0.012	-0.003	0.157
115.4	0.012	-0.003	0.157
115.6	0.011	-0.003	0.157
115.7	0.009	0.005	0.157
115.8	0.008	-0.003	0.157
116.0	0.008	0.005	0.157
116.1	0.008	0.005	0.157
116.2	0.008	-0.003	0.157
116.4	0.009	-0.003	0.157
116.5	0.009	-0.003	0.157
116.6	0.009	-0.003	0.157
116.8	0.009	-0.003	0.157
116.9	0.009	-0.003	0.157
117.1	0.009	-0.003	0.157
117.2	0.009	-0.003	0.157
117.3	0.009	0.005	0.157
117.5	0.009	0.005	0.157
117.6	0.009	-0.003	0.157
117.7	0.010	-0.003	0.157
117.9	0.010	-0.003	0.157
118.0	0.009	-0.003	0.157
118.1	0.008	-0.003	0.157
118.3	0.008	-0.003	0.157
118.4	0.009	-0.003	0.157
118.6	0.010	0.005	0.157
118.7	0.012	-0.003	0.157
118.8	0.012	-0.003	0.157
119.0	0.012	-0.003	0.157
119.1	0.011	-0.003	0.157
119.2	0.011	-0.003	0.157
119.4	0.011	-0.003	0.157
119.5	0.012	-0.003	0.157
119.6	0.012	-0.003	0.157
119.8	0.012	0.005	0.157
119.9	0.011	0.005	0.157
120.1	0.011	0.005	0.157
120.2	0.011	0.005	0.157
120.3	0.013	-0.003	0.157
120.5	0.015	-0.011	0.157
120.6	0.018	-0.011	0.157
120.7	0.020	-0.011	0.157
120.9	0.022	0.005	0.157
121.0	0.023	0.021	0.157
121.1	0.025	0.021	0.000
121.3	0.026	0.005	0.000
121.4	0.027	-0.019	0.157
121.6	0.027	-0.026	0.157
121.7	0.025	-0.011	0.157
121.8	0.021	0.005	0.157
122.0	0.018	0.013	0.157
122.1	0.015	0.005	0.000
122.2	0.013	0.005	0.157
122.4	0.013	-0.011	0.157
122.5	0.013	-0.011	0.157
122.6	0.013	-0.003	0.157
122.8	0.013	-0.003	0.157
122.9	0.012	0.005	0.000
123.1	0.012	0.005	0.157
123.2	0.013	-0.003	0.157
123.3	0.014	-0.011	0.157
123.5	0.016	-0.003	0.157
123.6	0.016	-0.003	0.157
123.7	0.016	-0.003	0.157
123.9	0.014	0.005	0.000
124.0	0.012	-0.003	0.157
124.1	0.011	-0.003	0.157
124.3	0.012	-0.003	0.157
124.4	0.013	-0.003	0.157
124.6	0.014	-0.003	0.157
124.7	0.014	-0.003	0.157
124.8	0.014	-0.003	0.157
125.0	0.013	-0.003	0.157
125.1	0.014	-0.003	0.157
125.2	0.014	-0.003	0.157
125.4	0.014	-0.003	0.157
125.5	0.015	-0.003	0.157
125.6	0.015	-0.003	0.157
125.8	0.014	-0.003	0.157
125.9	0.015	-0.003	0.157
126.1	0.015	-0.003	0.157
126.2	0.015	-0.003	0.157
126.3	0.015	-0.003	0.157
126.5	0.015	-0.003	0.157
126.6	0.015	-0.003	0.157
126.7	0.016	-0.003	0.157
126.9	0.016	-0.003	0.157
127.0	0.016	-0.003	0.157
127.1	0.016	-0.003	0.157
127.3	0.016	-0.003	0.157
127.4	0.016	-0.003	0.157
127.6	0.017	-0.003	0.157
127.7	0.017	-0.003	0.157
127.8	0.017	-0.003	0.157
128.0	0.018	-0.003	0.157
128.1	0.017	-0.003	0.157
128.2	0.017	-0.003	0.157
128.4	0.016	-0.003	0.157
128.5	0.017	-0.003	0.157
128.6	0.019	0.005	0.157
128.8	0.021	-0.003	0.157
128.9	0.022	-0.003	0.157
129.1	0.023	-0.003	0.157
129.2	0.021	-0.003	0.157
129.3	0.020	0.005	0.157
129.5	0.018	-0.003	0.157
129.6	0.018	-0.003	0.157
129.7	0.019	0.005	0.157
129.9	0.021	0.005	0.157
130.0	0.023	0.005	0.157
130.1	0.026	-0.011	0.157
130.3	0.029	-0.011	0.157
130.4	0.030	-0.003	0.157
130.6	0.029	-0.003	0.000
130.7	0.027	0.021	0.000
130.8	0.024	0.005	0.000
131.0	0.020	0.005	0.157
131.1	0.019	-0.003	0.157
131.2	0.019	-0.003	0.157
131.4	0.021	-0.003	0.157
131.5	0.024	-0.003	0.157
131.7	0.026	0.005	0.157
131.8	0.026	0.005	0.157
131.9	0.025	-0.003	0.157
132.1	0.024	-0.003	0.157
132.2	0.024	-0.003	0.157
132.3	0.024	-0.003	0.157
132.5	0.026	-0.003	0.157
132.6	0.027	-0.003	0.157
132.7	0.028	0.005	0.157
132.9	0.029	-0.003	0.157
133.0	0.030	-0.003	0.157
133.2	0.032	-0.003	0.157
133.3	0.033	-0.003	0.157
133.4	0.033	-0.003	0.157
133.6	0.033	-0.003	0.157
133.7	0.031	0.005	0.157
133.8	0.031	-0.003	0.157
134.0	0.032	-0.003	0.157
134.1	0.034	-0.003	0.157
134.2	0.035	-0.003	0.157
134.4	0.035	-0.003	0.157
134.5	0.035	-0.003	0.157
134.7	0.037	-0.003	0.157
134.8	0.039	-0.003	0.157
134.9	0.042	-0.003	0.157
135.1	0.043	-0.003	0.157
135.2	0.041	-0.003	0.157
135.3	0.040	0.005	0.157
135.5	0.041	-0.003	0.157
135.6	0.044	-0.003	0.157
135.7	0.047	-0.003	0.157
135.9	0.049	-0.003	0.157
136.0	0.047	-0.003	0.157
136.2	0.047	0.005	0.157
136.3	0.049	-0.003	0.157
