# depth[mm]	Amp[V]	HF [V]	TGC [dB]
35.6	0.055	-0.026	9.291
35.7	0.059	0.029	9.291
35.9	0.069	0.068	9.291
36.0	0.081	0.029	9.291
36.2	0.091	-0.066	9.449
36.3	0.096	-0.089	9.449
36.4	0.096	-0.003	9.449
36.6	0.089	0.084	9.449
36.7	0.077	0.044	9.449
36.8	0.060	-0.034	9.449
37.0	0.042	-0.042	9.606
37.1	0.029	0.005	9.606
37.2	0.023	0.013	9.606
37.4	0.023	-0.019	9.606
37.5	0.023	-0.019	9.606
37.7	0.018	0.005	9.606
37.8	0.011	0.013	9.764
37.9	0.007	-0.003	9.764
38.1	0.012	-0.003	9.764
38.2	0.030	0.029	9.764
38.3	0.055	0.021	9.764
38.5	0.082	-0.066	9.921
38.6	0.102	-0.089	9.921
38.7	0.115	-0.003	9.921
38.9	0.120	0.107	9.921
39.0	0.118	0.092	9.921
39.2	0.111	-0.026	9.921
39.3	0.099	-0.097	10.079
39.4	0.084	-0.058	10.079
39.6	0.069	0.013	10.079
39.7	0.058	0.052	10.079
39.8	0.051	0.044	10.079
40.0	0.047	-0.003	10.236
40.1	0.046	-0.034	10.236
40.2	0.046	-0.042	10.236
40.4	0.049	-0.034	10.236
40.5	0.054	0.013	10.236
40.7	0.062	0.060	10.236
40.8	0.069	0.044	10.236
40.9	0.073	-0.026	10.394
41.1	0.071	-0.074	10.394
41.2	0.065	-0.034	10.394
41.3	0.055	0.021	10.394
41.5	0.044	0.044	10.394
41.6	0.037	0.021	10.551
41.7	0.034	-0.019	10.551
41.9	0.036	-0.034	10.551
42.0	0.042	-0.019	10.551
42.2	0.051	0.029	10.551
42.3	0.059	0.060	10.551
42.4	0.067	0.029	10.709
42.6	0.078	-0.034	10.709
42.7	0.095	-0.089	10.709
42.8	0.120	-0.097	10.709
43.0	0.148	-0.003	10.866
43.1	0.174	0.155	10.866
43.2	0.193	0.163	10.866
43.4	0.201	-0.011	10.866
43.5	0.197	-0.176	10.866
43.7	0.184	-0.152	10.866
43.8	0.164	0.013	11.024
43.9	0.139	0.123	10.866
44.1	0.112	0.100	11.024
44.2	0.089	0.013	11.024
44.3	0.071	-0.042	11.181
44.5	0.061	-0.058	11.181
44.6	0.057	-0.050	11.181
44.7	0.056	-0.011	11.181
44.9	0.055	0.037	11.181
45.0	0.056	0.052	11.181
45.2	0.059	0.044	11.181
45.3	0.065	0.005	11.181
45.4	0.073	-0.058	11.339
45.6	0.078	-0.074	11.339
45.7	0.080	-0.019	11.339
45.8	0.078	0.060	11.339
46.0	0.075	0.068	11.496
46.1	0.073	0.021	11.496
46.2	0.074	-0.050	11.496
46.4	0.074	-0.074	11.496
46.5	0.073	-0.026	11.496
46.7	0.069	0.044	11.496
46.8	0.062	0.060	11.496
46.9	0.053	0.013	11.654
47.1	0.043	-0.026	11.654
47.2	0.033	-0.034	11.654
47.3	0.025	-0.019	11.654
47.5	0.022	-0.011	11.811
47.6	0.024	0.005	11.811
47.7	0.032	0.029	11.811
47.9	0.042	0.037	11.811
48.0	0.052	-0.003	11.811
48.2	0.058	-0.050	11.969
48.3	0.059	-0.050	11.969
48.4	0.057	0.013	11.969
48.6	0.054	0.052	11.969
48.7	0.052	0.029	11.969
48.8	0.051	-0.026	11.969
49.0	0.050	-0.050	11.969
49.1	0.047	-0.011	12.126
49.2	0.043	0.037	12.126
49.4	0.038	0.029	12.126
49.5	0.032	-0.011	12.126
49.7	0.027	-0.026	12.126
49.8	0.024	-0.019	12.283
49.9	0.024	-0.003	12.283
50.1	0.027	0.021	12.283
50.2	0.031	0.029	12.283
50.3	0.035	0.013	12.283
50.5	0.035	-0.026	12.441
50.6	0.030	-0.026	12.441
50.8	0.021	-0.003	12.441
50.9	0.012	0.013	12.598
51.0	0.009	0.005	12.441
51.2	0.015	0.013	12.441
51.3	0.030	0.029	12.598
51.4	0.050	0.013	12.598
51.6	0.072	-0.050	12.598
51.7	0.093	-0.089	12.598
51.8	0.111	-0.019	12.756
52.0	0.127	0.100	12.756
52.1	0.141	0.131	12.756
52.3	0.149	0.005	12.756
52.4	0.148	-0.121	12.756
52.5	0.134	-0.121	12.756
52.7	0.108	-0.003	12.913
52.8	0.077	0.060	12.913
52.9	0.048	0.052	12.913
53.1	0.030	0.013	12.913
53.2	0.027	0.013	12.913
53.3	0.037	0.013	13.071
53.5	0.054	-0.026	13.071
53.6	0.072	-0.074	13.071
53.8	0.088	-0.058	13.071
53.9	0.100	0.021	13.071
54.0	0.110	0.107	13.071
54.2	0.118	0.084	13.228
54.3	0.121	-0.034	13.228
54.4	0.119	-0.113	13.228
54.6	0.110	-0.082	13.228
54.7	0.097	0.013	13.228
54.8	0.084	0.076	13.228
55.0	0.074	0.068	13.386
55.1	0.067	0.013	13.386
55.3	0.062	-0.034	13.386
55.4	0.056	-0.058	13.386
55.5	0.049	-0.026	13.386
55.7	0.040	0.021	13.543
55.8	0.032	0.029	13.543
55.9	0.028	0.021	13.543
56.1	0.026	-0.011	13.543
56.2	0.027	-0.019	13.543
56.3	0.027	-0.026	13.543
56.5	0.025	-0.003	13.701
56.6	0.022	0.021	13.701
56.8	0.019	0.013	13.701
56.9	0.016	-0.003	13.701
57.0	0.014	-0.011	13.701
57.2	0.012	-0.011	13.701
57.3	0.011	-0.011	13.858
57.4	0.012	0.005	13.858
57.6	0.014	0.013	13.858
57.7	0.017	0.005	13.858
57.8	0.019	-0.011	13.858
58.0	0.018	-0.019	14.016
58.1	0.014	-0.011	14.016
58.3	0.011	0.005	14.016
58.4	0.010	0.005	14.016
58.5	0.013	0.013	14.016
58.7	0.019	0.005	14.173
58.8	0.025	-0.019	14.173
58.9	0.027	-0.026	14.173
59.1	0.025	-0.011	14.173
59.2	0.022	0.005	14.173
59.3	0.019	0.021	14.173
59.5	0.019	0.013	14.331
59.6	0.020	-0.003	14.331
59.8	0.021	-0.019	14.331
59.9	0.022	-0.019	14.331
60.0	0.022	-0.003	14.331
60.2	0.023	0.021	14.488
60.3	0.024	0.021	14.488
60.4	0.027	0.005	14.488
60.6	0.031	-0.019	14.488
60.7	0.035	-0.034	14.488
60.8	0.038	-0.026	14.646
61.0	0.042	0.005	14.488
61.1	0.045	0.044	14.646
61.3	0.048	0.037	14.646
61.4	0.051	-0.003	14.646
61.5	0.052	-0.042	14.646
61.7	0.052	-0.050	14.803
61.8	0.050	-0.011	14.803
61.9	0.048	0.037	14.803
62.1	0.047	0.044	14.803
62.2	0.048	0.013	14.803
62.3	0.049	-0.026	14.961
62.5	0.050	-0.050	14.961
62.6	0.048	-0.034	14.961
62.8	0.045	0.013	14.961
62.9	0.040	0.037	14.961
63.0	0.034	0.021	14.961
63.2	0.029	-0.011	15.118
63.3	0.026	-0.026	15.118
63.4	0.023	-0.019	15.118
63.6	0.021	0.005	15.118
63.7	0.018	0.013	15.118
63.8	0.015	0.013	15.118
64.0	0.011	-0.003	15.276
64.1	0.009	-0.011	15.276
64.3	0.008	-0.003	15.276
64.4	0.008	-0.003	15.276
64.5	0.009	-0.011	15.276
64.7	0.010	-0.011	15.276
64.8	0.011	-0.003	15.433
64.9	0.012	0.005	15.433
65.1	0.014	0.013	15.433
65.2	0.016	0.005	15.433
65.3	0.017	-0.011	15.591
