# depth[mm]	Amp[V]	HF [V]	TGC [dB]
114.9	0.053	-0.010	25.984
115.0	0.056	0.037	25.984
115.1	0.058	0.061	25.984
115.3	0.061	0.021	25.984
115.4	0.065	-0.026	25.984
115.6	0.072	-0.073	26.142
115.7	0.078	-0.058	26.142
115.8	0.082	0.005	26.142
116.0	0.080	0.068	26.142
116.1	0.075	0.068	26.142
116.2	0.068	0.013	26.142
116.4	0.062	-0.042	26.299
116.5	0.058	-0.058	26.299
116.6	0.057	-0.034	26.299
116.8	0.057	0.013	26.299
116.9	0.059	0.053	26.299
117.1	0.060	0.053	26.299
117.2	0.060	0.005	26.457
117.3	0.059	-0.042	26.457
117.5	0.056	-0.058	26.457
117.6	0.052	-0.018	26.457
117.7	0.049	0.021	26.457
117.9	0.045	0.045	26.457
118.0	0.042	0.029	26.614
118.1	0.038	-0.002	26.614
118.3	0.035	-0.026	26.614
118.4	0.035	-0.034	26.614
118.6	0.040	-0.034	26.614
118.7	0.050	-0.034	26.772
118.8	0.065	0.005	26.772
119.0	0.080	0.068	26.772
119.1	0.093	0.084	26.772
119.2	0.104	0.013	26.772
119.4	0.114	-0.081	26.929
119.5	0.122	-0.121	26.929
119.6	0.128	-0.050	26.929
119.8	0.131	0.076	26.929
119.9	0.129	0.124	26.929
120.1	0.122	0.061	26.929
120.2	0.113	-0.058	26.929
120.3	0.103	-0.105	26.929
120.5	0.094	-0.065	26.929
120.6	0.086	-0.010	26.929
120.7	0.080	0.053	26.772
120.9	0.074	0.076	26.457
121.0	0.070	0.045	24.409
121.1	0.066	-0.002	20.945
121.3	0.062	-0.050	17.638
121.4	0.057	-0.058	14.173
121.6	0.049	-0.018	10.709
121.7	0.041	0.013	7.874
121.8	0.032	0.029	5.669
122.0	0.025	0.013	3.937
122.1	0.020	-0.010	2.677
122.2	0.017	-0.010	1.732
122.4	0.016	-0.010	1.102
122.5	0.015	0.005	0.787
122.6	0.013	0.005	0.472
122.8	0.012	0.005	0.472
122.9	0.011	-0.002	0.472
123.1	0.011	-0.002	0.472
123.2	0.011	-0.002	0.472
123.3	0.013	-0.010	0.315
123.5	0.015	-0.002	0.315
123.6	0.017	-0.002	0.315
123.7	0.017	0.005	0.315
123.9	0.016	0.005	0.315
124.0	0.014	-0.002	0.315
124.1	0.013	-0.002	0.315
124.3	0.012	-0.002	0.315
124.4	0.014	-0.002	0.315
124.6	0.016	0.005	0.315
124.7	0.018	-0.002	0.157
124.8	0.018	-0.002	0.315
125.0	0.017	-0.002	0.315
125.1	0.016	-0.002	0.315
125.2	0.017	-0.002	0.157
125.4	0.018	-0.002	0.315
125.5	0.019	-0.002	0.315
125.6	0.018	-0.002	0.315
125.8	0.017	0.005	0.315
125.9	0.016	-0.002	0.315
126.1	0.015	-0.002	0.315
126.2	0.016	-0.002	0.315
126.3	0.017	-0.002	0.315
126.5	0.018	-0.002	0.315
126.6	0.018	-0.002	0.315
126.7	0.018	-0.002	0.315
126.9	0.018	-0.002	0.315
127.0	0.020	-0.002	0.315
127.1	0.020	-0.002	0.315
127.3	0.020	-0.002	0.315
127.4	0.019	0.005	0.315
127.6	0.018	-0.002	0.315
127.7	0.018	-0.002	0.315
127.8	0.019	-0.002	0.315
128.0	0.020	-0.002	0.315
128.1	0.021	-0.002	0.315
128.2	0.020	0.005	0.315
128.4	0.020	-0.002	0.315
128.5	0.020	-0.002	0.315
128.6	0.020	-0.002	0.315
128.8	0.020	0.005	0.315
128.9	0.019	-0.002	0.315
129.1	0.018	-0.002	0.315
129.2	0.017	-0.002	0.315
129.3	0.019	-0.002	0.315
129.5	0.022	0.005	0.315
129.6	0.024	-0.002	0.315
129.7	0.025	-0.002	0.315
129.9	0.024	-0.002	0.315
130.0	0.023	-0.002	0.315
130.1	0.023	-0.002	0.315
130.3	0.025	-0.002	0.315
130.4	0.027	-0.002	0.315
130.6	0.028	-0.002	0.315
130.7	0.027	0.005	0.315
130.8	0.024	-0.002	0.315
131.0	0.023	0.005	0.315
131.1	0.023	-0.002	0.315
131.2	0.024	-0.002	0.315
131.4	0.026	0.005	0.315
131.5	0.027	0.005	0.315
131.7	0.027	-0.002	0.157
131.8	0.028	-0.002	0.315
131.9	0.028	-0.002	0.315
132.1	0.029	-0.002	0.315
132.2	0.029	-0.002	0.315
132.3	0.029	0.005	0.315
132.5	0.029	-0.002	0.315
132.6	0.028	-0.002	0.315
132.7	0.029	-0.002	0.315
132.9	0.030	-0.002	0.315
133.0	0.031	-0.002	0.315
133.2	0.032	-0.002	0.315
133.3	0.033	-0.002	0.315
133.4	0.034	-0.002	0.315
133.6	0.035	-0.002	0.315
133.7	0.036	-0.002	0.315
133.8	0.036	-0.002	0.315
134.0	0.037	0.005	0.315
134.1	0.036	-0.002	0.315
134.2	0.036	-0.002	0.315
134.4	0.037	-0.002	0.315
134.5	0.038	-0.002	0.315
134.7	0.039	-0.002	0.315
134.8	0.041	-0.002	0.315
134.9	0.043	-0.002	0.157
135.1	0.044	-0.002	0.315
135.2	0.045	0.005	0.315
135.3	0.046	0.005	0.315
135.5	0.048	-0.002	0.315
135.6	0.051	-0.002	0.315
135.7	0.052	-0.002	0.315
135.9	0.051	0.005	0.315
136.0	0.050	-0.002	0.315
136.2	0.050	-0.002	0.315
136.3	0.053	-0.002	0.315
