#	Temperatur 7 (°C)	Temperatur 8 (°C)	Zeit (s)
253	61.61	40.39	504.0000
254	61.76	40.49	506.0000
255	61.86	40.59	508.0000
256	61.88	40.70	510.0000
257	61.82	40.80	512.0000
258	61.67	40.90	514.0000
259	61.46	40.99	516.0000
260	61.19	41.09	518.0000
261	60.87	41.19	520.0000
262	60.51	41.29	522.0000
263	60.12	41.38	524.0000
264	59.71	41.48	526.0000
265	59.29	41.57	528.0000
266	58.86	41.66	530.0000
267	58.42	41.75	532.0000
268	57.98	41.83	534.0000
269	57.55	41.92	536.0000
270	57.12	41.99	538.0000
271	56.70	42.07	540.0000
272	56.28	42.14	542.0000
273	55.88	42.21	544.0000
274	55.49	42.27	546.0000
275	55.10	42.33	548.0000
276	54.73	42.39	550.0000
277	54.38	42.43	552.0000
278	54.03	42.48	554.0000
279	53.69	42.52	556.0000
280	53.37	42.56	558.0000
281	53.06	42.60	560.0000
282	52.75	42.61	562.0000
283	52.47	42.64	564.0000
284	52.18	42.66	566.0000
285	51.92	42.68	568.0000
286	51.66	42.70	570.0000
287	51.42	42.70	572.0000
288	51.18	42.71	574.0000
289	50.96	42.72	576.0000
290	50.74	42.73	578.0000
291	50.53	42.72	580.0000
292	50.32	42.73	582.0000
293	50.13	42.72	584.0000
294	49.94	42.71	586.0000
295	49.76	42.69	588.0000
296	49.59	42.69	590.0000
297	49.42	42.67	592.0000
298	49.26	42.66	594.0000
299	49.12	42.65	596.0000
300	48.97	42.63	598.0000
301	48.83	42.62	600.0000
302	48.69	42.60	602.0000
303	48.56	42.57	604.0000
304	48.45	42.55	606.0000
305	48.41	42.53	608.0000
306	48.44	42.50	610.0000
307	48.56	42.48	612.0000
308	48.78	42.45	614.0000
309	49.06	42.43	616.0000
310	49.40	42.40	618.0000
311	49.80	42.38	620.0000
312	50.23	42.35	622.0000
313	50.71	42.33	624.0000
314	51.20	42.31	626.0000
315	51.72	42.29	628.0000
316	52.24	42.27	630.0000
317	52.76	42.26	632.0000
318	53.28	42.24	634.0000
319	53.79	42.23	636.0000
320	54.31	42.23	638.0000
321	54.82	42.22	640.0000
322	55.32	42.23	642.0000
323	55.80	42.22	644.0000
324	56.27	42.24	646.0000
325	56.73	42.24	648.0000
326	57.18	42.27	650.0000
327	57.60	42.28	652.0000
328	58.03	42.31	654.0000
329	58.43	42.34	656.0000
330	58.83	42.37	658.0000
331	59.21	42.41	660.0000
332	59.57	42.45	662.0000
333	59.93	42.49	664.0000
334	60.25	42.54	666.0000
335	60.58	42.59	668.0000
336	60.90	42.65	670.0000
337	61.21	42.71	672.0000
338	61.51	42.77	674.0000
339	61.79	42.83	676.0000
340	62.07	42.90	678.0000
341	62.34	42.97	680.0000
342	62.59	43.05	682.0000
343	62.75	43.08	684.0000
344	63.00	43.17	686.0000
345	63.25	43.26	688.0000
346	63.46	43.33	690.0000
347	63.66	43.39	692.0000
348	63.87	43.49	694.0000
349	64.09	43.58	696.0000
350	64.28	43.67	698.0000
351	64.47	43.76	700.0000
352	64.66	43.85	702.0000
353	64.82	43.93	704.0000
354	64.91	44.00	706.0000
355	64.97	44.07	708.0000
356	65.00	44.17	710.0000
357	64.95	44.27	712.0000
358	64.81	44.36	714.0000
359	64.60	44.44	716.0000
360	64.33	44.54	718.0000
361	64.01	44.63	720.0000
362	63.64	44.72	722.0000
363	63.26	44.80	724.0000
364	62.84	44.89	726.0000
365	62.41	44.98	728.0000
366	61.98	45.06	730.0000
367	61.53	45.14	732.0000
368	61.09	45.21	734.0000
369	60.64	45.29	736.0000
370	60.21	45.36	738.0000
371	59.78	45.43	740.0000
372	59.35	45.49	742.0000
373	58.94	45.55	744.0000
374	58.54	45.60	746.0000
375	58.16	45.65	748.0000
376	57.78	45.70	750.0000
377	57.41	45.75	752.0000
378	57.05	45.78	754.0000
379	56.71	45.81	756.0000
380	56.38	45.84	758.0000
381	56.06	45.87	760.0000
382	55.75	45.89	762.0000
383	55.46	45.91	764.0000
384	55.17	45.92	766.0000
385	54.90	45.93	768.0000
386	54.64	45.93	770.0000
387	54.38	45.95	772.0000
388	54.13	45.94	774.0000
389	53.90	45.94	776.0000
390	53.67	45.93	778.0000
391	53.46	45.93	780.0000
392	53.25	45.92	782.0000
393	53.05	45.90	784.0000
394	52.85	45.89	786.0000
395	52.67	45.87	788.0000
396	52.49	45.86	790.0000
