#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)
250	51.54	56.52	56.06	61.35
251	51.67	57.19	56.48	62.17
252	51.81	57.83	56.92	62.93
253	51.99	58.44	57.37	63.63
254	52.18	59.02	57.82	64.28
255	52.39	59.56	58.27	64.88
256	52.60	60.08	58.73	65.44
257	52.83	60.56	59.18	65.98
258	53.06	61.03	59.63	66.47
259	53.29	61.47	60.08	66.95
260	53.53	61.88	60.51	67.39
261	53.78	62.28	60.94	67.83
262	54.01	62.63	61.36	68.14
263	54.26	62.80	61.75	67.85
264	54.49	62.67	62.04	67.09
265	54.71	62.32	62.18	66.11
266	54.89	61.83	62.19	65.09
267	55.03	61.26	62.09	64.09
268	55.13	60.66	61.90	63.16
269	55.19	60.06	61.65	62.29
270	55.20	59.47	61.37	61.48
271	55.18	58.91	61.05	60.74
272	55.13	58.36	60.71	60.06
273	55.06	57.85	60.36	59.43
274	54.97	57.37	60.00	58.84
275	54.87	56.91	59.63	58.31
276	54.75	56.48	59.26	57.80
277	54.63	56.07	58.89	57.32
278	54.50	55.69	58.52	56.87
279	54.36	55.34	58.15	56.45
280	54.22	55.00	57.79	56.05
281	54.07	54.68	57.43	55.67
282	53.92	54.39	57.09	55.41
283	53.78	54.30	56.76	55.79
284	53.63	54.52	56.54	56.71
285	53.51	54.98	56.48	57.84
286	53.41	55.59	56.57	59.01
287	53.36	56.28	56.77	60.13
288	53.36	56.99	57.06	61.16
289	53.40	57.69	57.40	62.13
290	53.48	58.38	57.78	63.02
291	53.59	59.05	58.19	63.83
292	53.74	59.67	58.61	64.58
293	53.90	60.20	59.05	64.97
294	54.09	60.62	59.45	65.34
295	54.28	61.04	59.82	65.83
296	54.47	61.48	60.20	66.38
297	54.66	61.93	60.59	66.93
298	54.86	62.38	60.99	67.47
299	55.06	62.81	61.41	67.99
300	55.28	63.24	61.82	68.47
301	55.50	63.64	62.23	68.93
302	55.71	64.01	62.64	69.28
303	55.94	64.20	63.03	69.04
304	56.16	64.10	63.31	68.31
305	56.37	63.76	63.46	67.36
306	56.55	63.29	63.47	66.36
307	56.68	62.73	63.37	65.39
308	56.77	62.15	63.19	64.47
309	56.81	61.56	62.95	63.61
310	56.82	60.99	62.66	62.82
311	56.80	60.43	62.35	62.10
312	56.75	59.89	62.01	61.43
313	56.67	59.39	61.67	60.81
314	56.58	58.91	61.32	60.23
315	56.47	58.47	60.95	59.69
316	56.35	58.04	60.59	59.20
317	56.22	57.64	60.22	58.73
318	56.09	57.26	59.86	58.29
319	55.95	56.91	59.49	57.87
320	55.80	56.57	59.14	57.48
321	55.65	56.26	58.78	57.11
322	55.50	55.97	58.43	56.84
323	55.36	55.89	58.11	57.22
324	55.21	56.11	57.90	58.13
325	55.08	56.57	57.84	59.26
326	54.99	57.18	57.92	60.41
327	54.94	57.86	58.12	61.53
328	54.93	58.56	58.41	62.58
329	54.97	59.27	58.75	63.54
330	55.05	59.96	59.13	64.43
331	55.16	60.62	59.54	65.24
332	55.31	61.26	59.96	65.99
333	55.46	61.86	60.40	66.69
334	55.65	62.43	60.85	67.33
335	55.85	62.97	61.30	67.93
336	56.05	63.48	61.74	68.48
337	56.27	63.96	62.19	69.02
338	56.49	64.41	62.63	69.51
339	56.71	64.84	63.07	69.98
340	56.94	65.25	63.49	70.42
341	57.17	65.64	63.91	70.84
342	57.41	65.99	64.32	71.15
343	57.64	66.16	64.71	70.88
344	57.87	66.03	65.00	70.13
345	58.08	65.67	65.14	69.17
346	58.25	65.18	65.15	68.14
347	58.39	64.61	65.04	67.14
348	58.47	64.00	64.86	66.20
349	58.52	63.39	64.61	65.33
350	58.53	62.80	64.32	64.52
351	58.50	62.22	64.00	63.78
352	58.44	61.68	63.66	63.09
353	58.36	61.16	63.30	62.45
354	58.26	60.66	62.94	61.87
355	58.15	60.20	62.56	61.32
356	58.03	59.76	62.19	60.80
357	57.89	59.35	61.81	60.32
358	57.75	58.96	61.44	59.87
359	57.60	58.59	61.07	59.44
360	57.45	58.26	60.70	59.04
361	57.30	57.92	60.34	58.65
362	57.14	57.63	59.98	58.39
363	56.99	57.54	59.65	58.77
364	56.83	57.75	59.44	59.68
365	56.70	58.21	59.37	60.79
366	56.59	58.81	59.45	61.94
367	56.54	59.48	59.65	63.04
368	56.53	60.18	59.92	64.07
369	56.56	60.86	60.26	65.03
370	56.63	61.55	60.63	65.90
